	id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
57946	ZEB2-AS1	2.5624458717	0	5.1248917434	Inf	Inf	0.0198512982	0.2015791543
17955	HAO2	4.8254409188	9.1392521584	0.5116296792	0.0559815694	-4.1589042569	0.0198539753	0.2015791543
6852	AQP9	14.8245787626	24.959075161	4.6900823642	0.1879109035	-2.4118793135	0.0198585915	0.2015791543
17886	GYS1	667.5581766857	891.2311147398	443.8852386317	0.4980585073	-1.0056128683	0.0198676041	0.2016007837
28896	PARG	375.5588201957	280.8293005622	470.2883398292	1.6746412817	0.7438520946	0.0198950452	0.2018093312
52382	SLFN11	12.6352953708	2.1357275061	23.1348632356	10.8323103812	3.4372690775	0.0199347959	0.2021425566
53238	SOX4	504.2050022275	689.7296188627	318.6803855924	0.4620366835	-1.1139206957	0.0199671144	0.2024002132
20743	KMO	8.0120404119	0.9078670396	15.1162137841	16.6502506699	4.0574719922	0.0199937911	0.202600522
22808	LRRC75B	128.5165196391	167.8975558306	89.1354834476	0.5308920848	-0.9135094628	0.0200021327	0.2026149643
27046	NIPAL2	232.4258623086	289.8040948461	175.047629771	0.6040205535	-0.7273304528	0.0200279788	0.202746482
15538	FAM160B2	880.8252445288	1080.5297527255	681.1207363321	0.6303581504	-0.6657563378	0.0200307853	0.202746482
53745	STAM	292.1780750269	222.2676884199	362.0884616339	1.6290647741	0.7040439688	0.0200358787	0.202746482
13762	DDX41	1171.1113573267	1414.0951159681	928.1275986854	0.6563402901	-0.6074840977	0.0200861071	0.203129877
16660	FZD2	1483.61450868	1841.3988443498	1125.8301730102	0.6113994133	-0.7098129272	0.0200905166	0.203129877
53347	SPATA9	13.0525016282	5.6587907685	20.446212488	3.6131769709	1.8532679187	0.0201013234	0.203129877
58050	ZMIZ2	1312.8100862036	1608.3000368111	1017.3201355962	0.6325437495	-0.6607628285	0.0201070578	0.203129877
13576	DAND5	28.5376551551	14.1134525864	42.9618577238	3.0440359976	1.6059854197	0.0201084364	0.203129877
29901	PNMA6A	102.2666706796	133.0376160681	71.4957252911	0.53740985	-0.8959053307	0.0201362306	0.2033405289
52159	SLC30A5	686.7829322215	521.44576864	852.1200958031	1.6341490277	0.7085395573	0.0201571407	0.2034685758
14053	DLGAP1	88.7237761474	134.9104735868	42.537078708	0.3152985649	-1.6652094915	0.0201628017	0.2034685758
57211	VTN	13.6931919725	6.1447263923	21.2416575527	3.4568923328	1.7894756706	0.0202380825	0.2041579291
53984	SUPT5H	1581.4950741158	1929.6154646007	1233.3746836309	0.6391815915	-0.6457022358	0.020255726	0.2042655738
58501	ZNF676	101.7713876266	68.4370711796	135.1057040736	1.974159644	0.9812386606	0.0202707661	0.2043469009
22998	MAFG	341.4168566777	426.7954457045	256.0382676509	0.5999086219	-0.7371853289	0.0202898611	0.2044690338
52599	SNHG20	79.5908990587	55.0202750859	104.1615230315	1.8931479872	0.9207871907	0.0203288755	0.2046667234
23253	MBD2	1476.7533893744	1894.3304461444	1059.1763326045	0.559129657	-0.8387452254	0.0203301792	0.2046667234
6286	ANXA1	3345.1258609347	2491.4777714731	4198.7739503963	1.6852544295	0.7529664172	0.0203304375	0.2046667234
31580	RELN	6.2113612685	0	12.422722537	Inf	Inf	0.0203401133	0.2046937889
15674	FAM219A	333.6431508962	417.7011474031	249.5851543893	0.5975208733	-0.7429389829	0.0203787005	0.2050116867
27192	NOP14-AS1	195.6770667391	244.3045988504	147.0495346279	0.6019106285	-0.732378803	0.0203971823	0.2051271727
53625	SSR4	1729.4627942955	2128.910659665	1330.0149289259	0.6247396634	-0.6786729684	0.0204243821	0.2053242776
56101	TST	297.4571315429	379.1015938516	215.8126692342	0.5692739697	-0.8128049616	0.0204309232	0.2053242776
28942	PAX2	6.5515803268	0.3135265198	12.7896341339	40.7928303585	5.350243705	0.0204378083	0.2053242776
17819	GTPBP1	1015.5256085934	1247.3971028612	783.6541143256	0.628231469	-0.6706318835	0.0204623076	0.2054999323
29126	PCSK7	653.4410459085	794.3866618129	512.495430004	0.6451460663	-0.6323022595	0.0204897981	0.2057054958
13749	DDX31	437.8493749535	327.3253668435	548.3733830636	1.6753158741	0.7444331356	0.0205154503	0.2058924691
13733	DDX17	7339.1643225927	5757.4634270263	8920.8652181591	1.5494436623	0.6317502996	0.0205278327	0.2059461849
57482	WWTR1	2832.0778834548	3432.9074154593	2231.2483514503	0.6499587904	-0.6215798455	0.0206789215	0.2073909634
54529	TENM3	470.2387838944	347.8278538975	592.6497138913	1.7038592719	0.7688061829	0.0206880832	0.2074118406
19907	IPO8	606.9629943426	460.9392800501	752.9867086351	1.6335919745	0.7080476837	0.0207097801	0.2075583331
29228	PDP1	381.9512301054	474.0938022277	289.8086579831	0.6112896997	-0.7100718372	0.0207249523	0.2076393566
4729	ADPRHL1	20.2456348855	11.4256084488	29.0656613222	2.5439049003	1.3470447389	0.0207390441	0.2077095032
8824	CAMK1D	337.4674200746	213.8040478135	461.1307923357	2.156791684	1.108886839	0.0207751756	0.2080002626
23188	MARCH3	1384.527028669	1709.2435457623	1059.8105115756	0.6200465195	-0.6895516359	0.020842113	0.2085456177
22668	LPAR6	69.6924255442	10.3868913304	128.997959758	12.4193038759	3.6345124051	0.0208449645	0.2085456177
9816	CFHR3	68.167578986	18.7384812072	117.5966767647	6.2756781334	2.6497713613	0.0208510024	0.2085456177
51776	SHISA2	12.3913183434	24.3235812138	0.4590554731	0.0188728571	-5.7275433432	0.0208712636	0.2086210937
56021	TSKU	2574.9417395566	3150.3589261651	1999.5245529482	0.6346973789	-0.6558592102	0.0208727915	0.2086210937
51970	SLC19A3	39.148467886	20.7915597519	57.5053760201	2.7658038505	1.4676988449	0.0208961269	0.208728378
9282	CCR1	56.1950922491	10.8088227461	101.5813617522	9.3980042173	3.2323544151	0.0208977755	0.208728378
54932	TMEM147	968.2876240028	1181.4497037558	755.1255442497	0.6391516641	-0.6457697864	0.0209050075	0.2087294463
8405	C1orf216	334.342604392	421.8414860463	246.8437227377	0.5851575317	-0.7731030265	0.0210069274	0.2096156677
1294	AC009005.2	26.3339304113	42.1137703084	10.5540905142	0.2506090155	-1.9964897795	0.0210080765	0.2096156677
26392	MYD88	691.7952352107	860.3614676118	523.2290028096	0.6081502049	-0.717500401	0.021032189	0.2097848066
19950	IRF1	441.2402433828	556.5025078374	325.9779789281	0.5857619226	-0.7716136809	0.0210459321	0.2098379468
91	ABCC1	854.6103458681	1288.3238613565	420.8968303797	0.326701106	-1.6139567561	0.0210549251	0.2098379468
8987	CBWD1	170.2639970407	209.8804760601	130.6475180212	0.622485333	-0.6838882502	0.0210590054	0.2098379468
20323	KCNH5	7.7272865258	0	15.4545730517	Inf	Inf	0.0211104445	0.2102789774
21326	LCNL1	2947.6870179444	3743.815818781	2151.5582171078	0.5746965987	-0.7991275842	0.0211446528	0.2105481321
23834	MIR155HG	4.8661855177	8.8881062166	0.8442648188	0.0949881559	-3.3961085555	0.0211595587	0.2106056951
51595	SETBP1	305.6382832562	410.4263889113	200.8501776011	0.4893695509	-1.0310037568	0.021168653	0.2106056951
29325	PFKFB4	942.0487684301	1571.5098544236	312.5876824367	0.1989091456	-2.3298184839	0.0211746346	0.2106056951
50494	RPRD1A	663.0746475992	495.7965174578	830.3527777406	1.674785418	0.743976262	0.0211849886	0.2106056951
43627	RP11-505K9.4	6.1605310949	11.2978028315	1.0232593584	0.0905715362	-3.4647984619	0.0211863794	0.2106056951
13657	DCDC2C	2.6377790854	0	5.2755581708	Inf	Inf	0.021208551	0.2106156255
58607	ZNF781	23.5952702772	13.1032695739	34.0872709804	2.6014324736	1.3793062592	0.021214785	0.2106156255
26564	NAIP	58.0477668696	34.7174926205	81.3780411188	2.3440068673	1.2289767965	0.0212204385	0.2106156255
6920	ARHGAP30	47.6592392897	3.3898335852	91.9286449942	27.1189256596	4.7612281208	0.0212268523	0.2106156255
56605	UBXN11	392.7849725959	482.1329014074	303.4370437844	0.6293639013	-0.6680336631	0.0212368513	0.2106156255
39807	RP11-2E11.9	9.8378687883	3.8856585618	15.7900790149	4.063681552	2.0227873506	0.0212423371	0.2106156255
16194	FHDC1	215.2668072095	164.6779545501	265.8556598689	1.6143973891	0.6909957464	0.0212431951	0.2106156255
20539	KIAA1671	887.6757177955	672.8613357214	1102.4900998696	1.638510108	0.7123845729	0.0212508494	0.2106156255
58769	ZSWIM5	261.8355965863	318.2096373537	205.461555819	0.6456798654	-0.6311090555	0.0212520836	0.2106156255
15265	ESRP2	337.5557729189	424.2284852377	250.8830606001	0.591386645	-0.7578264307	0.0212742929	0.2107644273
31013	PYGL	621.1287748533	876.3832882433	365.8742614633	0.4174820154	-1.2602140454	0.0212858621	0.2108077517
16702	GABRE	58.0984148514	21.6546481196	94.5421815832	4.365907082	2.1262814263	0.0212967674	0.2108444746
10819	CRIP2	1372.1521495896	1718.4827365044	1025.8215626748	0.596934459	-0.7443555567	0.0213227973	0.2110308607
8854	CAPN1	1258.4804960314	1554.7322414276	962.2287506351	0.6189031944	-0.6922143266	0.0213427519	0.2111570135
21960	LINC00963	906.7698755351	1233.0804718062	580.459279264	0.4707391712	-1.0870001873	0.0213639956	0.2112958312
57316	WDR36	277.4445085937	204.7639125704	350.125104617	1.7098965351	0.7739090311	0.0214101666	0.211681009
17938	HACD4	146.0638902665	106.4967494369	185.631031096	1.7430675779	0.8016285032	0.021455826	0.2120369178
6914	ARHGAP26	459.464149227	572.3841095607	346.5441888932	0.6054399189	-0.7239442943	0.0214632072	0.2120369178
58505	ZNF680	112.2873518464	68.4929848503	156.0817188425	2.2787986125	1.1882734329	0.0214748266	0.2120369178
29637	PIWIL4	10.504151415	4.453753469	16.5545493611	3.7169882609	1.8941341318	0.0214822409	0.2120369178
57448	WNT9A	90.8505148286	141.3237603165	40.3772693408	0.2857075785	-1.8073887902	0.0214823544	0.2120369178
7766	BISPR	8.89239634	2.0569906683	15.7278020117	7.6460249694	2.9347099115	0.0215100803	0.2122302249
6725	AP1S2	167.8668424867	102.9023679862	232.8313169872	2.2626429454	1.1780089392	0.0215201075	0.2122302249
9786	CFAP221	49.5221258925	65.5751943077	33.4690574773	0.5103920443	-0.9703222536	0.0215360396	0.2122302249
52008	SLC23A2	3556.5551845549	2212.2218678124	4900.8885012973	2.2153693409	1.1475472414	0.0215466754	0.2122302249
29911	PNPLA2	1325.1087491533	1635.0944952966	1015.1230030099	0.6208344569	-0.6877194641	0.0215482413	0.2122302249
13674	DCST2	18.0869065555	27.3023038892	8.8715092218	0.3249362859	-1.6217712354	0.0215504978	0.2122302249
53811	STK32A	61.6491975208	40.308191872	82.9902031695	2.0588917368	1.0418679704	0.0215526513	0.2122302249
23442	MEIS3P1	133.0315347215	163.9711218256	102.0919476174	0.6226215109	-0.6835726736	0.0215793015	0.2123520863
16054	FCGR1A	16.0184581304	0	32.0369162608	Inf	Inf	0.0215795242	0.2123520863
25548	MORC1	7.773743154	2.1193712462	13.4281150617	6.335895651	2.6635485752	0.021590649	0.2123577863
51423	SEL1L3	118.2348394562	173.6998436131	62.7698352992	0.3613695556	-1.4684531266	0.0215946013	0.2123577863
33412	RNF152	68.2837879483	31.5536022118	105.0139736847	3.3281136328	1.7347046927	0.021618795	0.2124736682
9754	CEPT1	295.9602580039	226.5041424189	365.4163735888	1.6132878175	0.6900038445	0.0216208911	0.2124736682
52179	SLC35B3	246.5538020554	187.0228198691	306.0847842417	1.6366173094	0.7107170155	0.0216566439	0.2127536494
7399	ATP6V0E2	774.6101033364	948.124944777	601.0952618958	0.6339831741	-0.6574835432	0.0216768303	0.2128805707
30853	PTGFRN	1669.3275154728	2028.3942093226	1310.260821623	0.645959654	-0.6304840365	0.021724929	0.2132814331
9372	CD37	29.5385617384	3.5428419679	55.5342815089	15.6750659535	3.9703996081	0.0217486861	0.2134431355
20309	KCNE2	6.2951752979	1.786066021	10.8042845748	6.0492078388	2.5967462297	0.0217623736	0.2135059389
8232	C15orf52	507.9120743469	681.1944184288	334.629730265	0.4912396831	-1.0255009862	0.0217892012	0.2136975724
16430	FOXP4	466.3402581646	586.915875343	345.7646409862	0.5891212958	-0.7633633899	0.0218071623	0.2138021488
46085	RP11-707G14.1	14.365124085	21.0739973822	7.6562507879	0.3633032048	-1.4607540025	0.0218216635	0.2138727444
14755	EFHC2	114.8308403409	147.292234273	82.3694464089	0.5592246381	-0.838500171	0.0218707895	0.2142557764
29143	PDCD4	848.82306634	677.6505571656	1019.9955755144	1.5051940336	0.5899494759	0.0218819812	0.2142557764
55986	TRPV4	9.2360617147	3.2947404875	15.1773829418	4.6065488312	2.2036863062	0.0218845031	0.2142557764
20493	KIAA0319L	1192.1542184644	1442.1134705318	942.1949663969	0.6533431562	-0.6140871557	0.0218932659	0.2142557764
53150	SNX29	593.4929310367	717.895715922	469.0901461515	0.6534237992	-0.6139090928	0.0218973133	0.2142557764
51070	S100P	6.2435743672	12.4871487343	0	0	-Inf	0.0219317819	0.2144786645
31100	RAB33A	12.5703250731	20.0284353725	5.1122147736	0.2552478353	-1.9700293688	0.0219347356	0.2144786645
26781	NDUFA5	1259.7363177915	925.5096349862	1593.9630005969	1.7222543562	0.7842982272	0.0219589616	0.2146439044
23059	MAK16	163.9760045415	123.728935776	204.2230733071	1.6505684141	0.7229629378	0.0219742385	0.2146994097
54186	TAOK3	393.0425078481	298.3938057456	487.6912099506	1.6343878477	0.7087503823	0.0219839957	0.2146994097
29412	PGRMC1	2256.1712338303	1818.5989142092	2693.7435534515	1.4812191586	0.566785115	0.0219866267	0.2146994097
51086	SACS	180.3650273107	131.0159132921	229.7141413293	1.7533300769	0.8100976193	0.0220089851	0.214846124
25586	MPHOSPH8	669.2561207745	511.501853666	827.010387883	1.6168277435	0.6931659826	0.0220434452	0.2150599114
16396	FOXF2	13.1029564696	0.2872809072	25.918632032	90.2205172156	6.4953836516	0.022045568	0.2150599114
21262	LARP6	629.9246478517	785.3638428356	474.4854528679	0.6041600428	-0.726997323	0.0221659084	0.2161618797
30008	POM121C	296.3698802463	367.3717039616	225.3680565309	0.6134605744	-0.7049574665	0.0221744733	0.2161734424
25430	MKNK2	670.0501300969	535.2208629006	804.8793972931	1.5038266501	0.5886382734	0.0221858918	0.2162128077
7485	AXIN2	276.6574092904	199.0933136762	354.2215049045	1.7791732849	0.8312070307	0.0222093284	0.2163692306
10454	CNOT7	709.7260844286	550.2505529183	869.2016159388	1.5796469651	0.6596021668	0.0222221124	0.2164080462
126	ABHD10	481.6716762407	368.9151560533	594.4281964281	1.6112870037	0.6882134909	0.0222280871	0.2164080462
4882	AGAP1	371.9877302474	460.3332513622	283.6422091326	0.61616711	-0.6986064192	0.0222835732	0.2168296638
6728	AP2A1	1679.8330869586	2045.6839930058	1313.9821809113	0.6423192367	-0.6386375908	0.0222861962	0.2168296638
43122	RP11-474O21.5	14.5375903872	22.0868468721	6.9883339023	0.3164025152	-1.6601670267	0.0222966884	0.2168588489
7722	BET1L	1383.7233695437	1694.773114134	1072.6736249533	0.632930518	-0.6598809632	0.0223040011	0.2168588489
8424	C1orf87	11.311942985	17.3736817388	5.2502042313	0.3021929554	-1.7264580654	0.0223257877	0.2169986568
16905	GCAT	399.2323155464	491.4923787786	306.9722523143	0.6245717443	-0.6790607918	0.0223453138	0.217116407
58270	ZNF395	1036.150185566	1444.5798230813	627.7205480506	0.4345350378	-1.2024555845	0.0223598133	0.2171852553
8005	BTAF1	683.0341306404	827.6945709923	538.3736902885	0.6504497059	-0.6204905857	0.0223741239	0.2172522242
8142	C10orf82	7.3174992724	2.3640502809	12.2709482639	5.1906460547	2.3759141151	0.0223822938	0.2172595418
13315	CX3CL1	446.0250340276	620.3835743051	271.6664937501	0.4379008488	-1.1913238488	0.0224093702	0.2174503145
53988	SURF1	790.1469494125	965.2057661988	615.0881326262	0.6372611459	-0.6500433932	0.0224512991	0.2177850359
21336	LDB3	17.1632765616	26.6162927173	7.7102604058	0.2896819812	-1.7874581462	0.0224752502	0.217945202
9423	CDC14A	67.2996817275	47.5552616069	87.044101848	1.8303779415	0.8721415709	0.0225957367	0.2190410676
21418	LGMN	1063.0227499206	1421.7526829153	704.2928169259	0.4953694306	-1.0134232528	0.0226054062	0.2190623135
14054	DLGAP1-AS1	70.302659482	49.0855135943	91.5198053697	1.8644972553	0.8987866733	0.0226612458	0.2195014406
33425	RNF182	715.0267385438	543.9459873015	886.1074897861	1.6290358059	0.7040183144	0.022665706	0.2195014406
17612	GRPEL1	574.7301905515	701.75414888	447.706232223	0.6379815965	-0.648413287	0.0227105828	0.2198386214
56000	TSC22D4	513.1833283479	642.0435541408	384.3231025549	0.5985935067	-0.7403514656	0.0227220364	0.2198386214
13962	DHX37	323.5464851656	396.5377043712	250.5552659601	0.6318573573	-0.6623291902	0.0227230362	0.2198386214
15909	FANCI	100.1693782334	131.1861455967	69.1526108701	0.5271334908	-0.9237597401	0.0227559431	0.2199291367
31042	QSER1	254.9561582938	187.6950295646	322.217287023	1.716706552	0.779643451	0.022757325	0.2199291367
53036	SNRPB	951.5299434537	1168.9022019476	734.1576849598	0.6280745162	-0.670992361	0.0227604806	0.2199291367
26513	N4BP2L2-IT2	8.2034771106	2.7528911929	13.6540630284	4.9598992738	2.3103108225	0.0227624217	0.2199291367
8391	C1orf159	203.975436316	256.468156527	151.4827161049	0.590649218	-0.7596265155	0.0227718622	0.2199478081
22099	LINC01144	41.026649331	54.4269774133	27.6263212486	0.507585072	-0.9782784546	0.0227864305	0.2199997816
22965	LZIC	250.1605611341	183.3202157323	317.0009065359	1.7292195804	0.7901210775	0.0227922627	0.2199997816
16566	FTH1P23	12.7037857824	20.2953567913	5.1122147736	0.2518908549	-1.9891293498	0.0228232198	0.2202260286
25474	MMAA	109.1712565667	76.5093589926	141.8331541408	1.8538013651	0.8904866674	0.0228855529	0.2207547822
27440	NSL1	289.6925907237	222.4384738938	356.9467075536	1.6046985996	0.6823023505	0.0229235453	0.2210484722
51678	SFXN5	217.7224394583	271.0856998125	164.3591791042	0.6062997023	-0.7218969807	0.0229416483	0.2210880693
7717	BEST1	95.5681552721	147.4921775379	43.6441330062	0.2959081202	-1.7567788077	0.0229427455	0.2210880693
8317	C19orf57	33.98089582	46.9501640723	21.0116275678	0.4475304396	-1.1599422815	0.0229616795	0.2211977645
8971	CBFA2T3	18.2047318958	27.6703232484	8.7391405431	0.3158308078	-1.6627761888	0.023012719	0.2216165689
18114	HERC2P2	315.1026795855	241.9979947655	388.2073644055	1.6041759552	0.6818323935	0.0230344658	0.2217142342
56699	UNC119B	1482.9786304433	1777.3910422406	1188.566218646	0.6687139692	-0.5805388399	0.0230379972	0.2217142342
36800	RP11-123K19.1	151.7993428141	114.6457724735	188.9529131547	1.6481454927	0.7208436043	0.0230570784	0.2218249959
55099	TMEM44-AS1	55.7482897059	75.3787684232	36.1178109886	0.479150983	-1.0614477664	0.0230865746	0.222035851
55217	TMTC3	299.6450300947	220.5278495159	378.7622106734	1.7175255257	0.7803315404	0.02311042	0.2221922395
20439	KDELR3	1619.3019880373	1177.4362425396	2061.1677335351	1.7505557066	0.8078129723	0.0231228118	0.2222384423
57063	VMA21	431.9530602567	334.9045167465	529.0016037668	1.5795594783	0.6595222628	0.0231368345	0.2222399412
26919	NEU1	844.6288426843	1051.0070383252	638.2506470435	0.607275331	-0.7195773304	0.0231448585	0.2222399412
31622	RFC1	836.5379930483	610.9043665656	1062.171619531	1.7386872278	0.7979984297	0.0231457266	0.2222399412
57148	VPS16	374.8571992743	462.9392507093	286.7751478393	0.6194660474	-0.6909028836	0.0231686066	0.22238674
55168	TMIE	125.663277601	188.309189968	63.0173652341	0.3346483793	-1.5792820674	0.0231916746	0.2225223686
57219	VWA2	2.9452679945	5.8905359889	0	0	-Inf	0.0231979284	0.2225223686
6522	AP001046.5	57.7441819963	78.8869238708	36.6014401218	0.463973474	-1.107885768	0.0232176788	0.2225947374
16860	GAS6-AS1	75.9836518004	41.8920690368	110.075234564	2.6275912624	1.3937408732	0.0232242176	0.2225947374
8599	C6orf226	150.1178323669	192.1380466078	108.0976181261	0.5626039196	-0.8298084911	0.023228268	0.2225947374
14264	DOK2	11.8119634087	0.6270530395	22.9968737779	36.6745272374	5.1967064635	0.0232556464	0.2227133915
31443	RBMS1	1078.5051070658	836.7379793857	1320.2722347459	1.5778801337	0.6579876127	0.0232599637	0.2227133915
54600	TFDP1	1761.924420538	1361.9569625856	2161.8918784905	1.587342286	0.6666132568	0.0232634572	0.2227133915
53883	STX7	812.6858525222	636.5991659521	988.7725390923	1.5532105475	0.6352534094	0.023283878	0.2227581584
9980	CHADL	44.2632395868	29.6943985981	58.8320805755	1.9812517967	0.9864122436	0.0233043672	0.2227581584
58156	ZNF24	854.8770790877	659.4218058417	1050.3323523337	1.5928080373	0.671572406	0.0233088952	0.2227581584
57284	WBP5	1122.6407062624	845.978321221	1399.3030913037	1.654064952	0.7260158875	0.0233103012	0.2227581584
15391	FA2H	14.5649214532	24.9513902214	4.178452685	0.1674637224	-2.5780794961	0.0233117452	0.2227581584
15335	EXOG	153.0147232334	115.4897469989	190.5396994679	1.649840825	0.7223268414	0.0233137571	0.2227581584
31348	RASSF5	23.0743966769	10.2567061147	35.8920872391	3.4993775621	1.8070983312	0.0233561213	0.2230901775
31695	RGS14	578.4225711589	881.1296411798	275.7155011381	0.3129113904	-1.6761739193	0.0233645183	0.2230976409
11702	CTC-459F4.1	10.5463717139	4.4799990816	16.6127443461	3.7082026232	1.8907200777	0.0234016074	0.2233654058
21402	LGALS3	1175.1919592013	1557.1282915074	793.2556268952	0.5094349844	-0.9730300578	0.0234078101	0.2233654058
8319	C19orf66	724.0043534614	899.1086195355	548.9000873874	0.6104936328	-0.7119518464	0.023432336	0.2233832177
23527	MFI2	153.5989346979	201.2945655903	105.9033038056	0.5261110924	-0.9265606269	0.0234344995	0.2233832177
3773	AC108463.2	7.4484500951	13.029376013	1.8675241771	0.14333182	-2.8025691683	0.023439937	0.2233832177
4971	AIFM2	307.9750924973	381.023296762	234.9268882327	0.616568305	-0.6976673661	0.0234512484	0.2233832177
58151	ZNF233	31.9417401674	18.7103250853	45.1731552495	2.4143436869	1.2716310614	0.0234545563	0.2233832177
53360	SPCS3	864.3178820507	671.2770512349	1057.3587128666	1.5751450328	0.6554846721	0.0234642149	0.2233832177
54766	TINAGL1	95.7127577659	10.0859206408	181.339594891	17.9794786564	4.1682792831	0.0234675294	0.2233832177
35587	RP1-172N19.5	23.2906052289	32.9528289352	13.6283815227	0.4135724295	-1.2737880821	0.0234766615	0.2233832177
20710	KLHL8	92.9365992593	65.5877501379	120.2854483806	1.8339621061	0.8749638299	0.0234783044	0.2233832177
17135	GLP2R	3.959740212	7.4973480146	0.4221324094	0.0563042303	-4.1506128691	0.023539843	0.2238788131
15485	FAM129B	1711.2831151837	2213.9784196175	1208.5878107499	0.5458896076	-0.8733188629	0.0235574505	0.2238788131
55436	TPP2	407.2735502419	304.7008767042	509.8462237796	1.6732679909	0.7426685262	0.0235612061	0.2238788131
1970	AC016739.2	17.0385129397	25.5877518307	8.4892740487	0.3317710014	-1.5917403025	0.0235692061	0.2238788131
6812	APOL2	2008.6490171388	2441.2106905747	1576.0873437028	0.6456170906	-0.631249325	0.0235743205	0.2238788131
12704	CTD-2516F10.2	13.2215778626	20.7424909723	5.7006647528	0.2748302873	-1.8633870918	0.0235762464	0.2238788131
9504	CDH4	15.8611839304	30.3821245051	1.3402433556	0.0441128913	-4.5026558676	0.0235925885	0.2239613998
8161	C11orf54	360.8879363847	271.9822636928	449.7936090767	1.6537608113	0.7257505881	0.0236223167	0.2241709649
26882	NEIL2	385.5601980622	475.7409206078	295.3794755166	0.6208830536	-0.6876065396	0.023643145	0.2242959625
57332	WDR54	365.07306226	450.6091770774	279.5369474426	0.6203534275	-0.6888377136	0.0236681187	0.2243036542
56045	TSPAN5	202.4232932146	155.6528182267	249.1937682025	1.6009589228	0.6789362919	0.0236681644	0.2243036542
16742	GALE	242.832684228	303.527333892	182.1380345639	0.600071276	-0.7367942217	0.0236698836	0.2243036542
30948	PTTG1IP	5136.3591335373	6841.8324388979	3430.8858281768	0.5014571548	-0.9958016548	0.0236800985	0.2243036542
9133	CCDC40	143.0158768041	181.1556878301	104.876065778	0.5789278108	-0.7885446317	0.0236822394	0.2243036542
25906	MT-TV	19.3478384175	8.1670029266	30.5286739083	3.7380510553	1.9022862739	0.0236954193	0.2243559501
4947	AHCYL1	4206.294289184	3270.7377148705	5141.8508634975	1.5720767948	0.6526716939	0.0237211693	0.2245271906
51802	SIAH1	359.3768021914	276.8557371395	441.8978672433	1.5961304317	0.6745785497	0.0237862333	0.2250703177
40830	RP11-350G8.5	3.9384392758	7.4547461422	0.4221324094	0.0566259939	-4.1423917228	0.0238352672	0.2254614634
26703	NCF2	33.4445124572	4.6211164972	62.2679084172	13.4746458901	3.7521754547	0.0238482996	0.2255119228
30159	PPIL1	595.3483337382	466.1861045722	724.5105629041	1.5541230333	0.6361007203	0.0239044613	0.2259482823
4599	ADAMTS15	4.6196864626	0.8880883341	8.3512845911	9.4036643317	3.2332230422	0.0239135134	0.2259482823
54200	TARS	1114.7513747913	861.1448950132	1368.3578545695	1.5889983933	0.6681176659	0.023917584	0.2259482823
20647	KLF3	985.0455932402	751.5755066575	1218.515679823	1.6212817861	0.6971348596	0.0239261149	0.2259560075
6102	AMPH	44.2247863123	11.8049379921	76.6446346325	6.4925910398	2.6987943387	0.0239496974	0.2261058283
8196	C12orf57	1840.6426647514	2247.5651015122	1433.7202279907	0.6378993102	-0.6485993763	0.0239890414	0.2263855368
31310	RASA1	515.6004645389	400.8990465083	630.3018825695	1.572220957	0.6528039855	0.0239947804	0.2263855368
54123	TAC1	4948.2704479718	9885.9543952991	10.5865006445	0.0010708628	-9.867010654	0.0240364821	0.22670597
21208	LAIR1	77.0375474476	2.4230084133	151.652086482	62.5883449897	5.9678221228	0.0240845943	0.2270776773
27701	OGFRL1	3231.6805147695	2510.9461632268	3952.4148663121	1.5740739185	0.6545032914	0.0240913952	0.2270776773
57171	VPS4B	728.3979410939	558.1600687394	898.6358134484	1.6099966009	0.6870576425	0.0241234569	0.2272445056
52354	SLC9A8	416.2586612646	511.0193969542	321.497925575	0.6291305721	-0.6685686243	0.0241336669	0.2272445056
8504	C2orf81	200.8079444303	252.061210958	149.5546779025	0.5933268246	-0.7531010857	0.0241379706	0.2272445056
19135	IER5	272.730439277	213.514876986	331.946001568	1.5546738768	0.6366119787	0.0241401229	0.2272445056
31829	RMND5A	385.4827421357	300.96082144	470.0046628313	1.5616805556	0.6430993779	0.0241698498	0.2274512528
6564	AP001372.2	108.7257653656	78.0083192916	139.4432114397	1.787542825	0.8379778056	0.0242249194	0.2278952908
17950	HAMP	36.6732650112	1.2115042066	72.1350258157	59.541704784	5.895828624	0.0242360699	0.2278952908
30265	PPP2R5A	336.491762692	255.8345454754	417.1489799086	1.6305420331	0.7053516322	0.024240373	0.2278952908
26715	NCLN	585.506628659	728.6845930411	442.328664277	0.6070234893	-0.720175751	0.0242548433	0.2279581759
10492	CNTROB	486.1307010611	591.7701649167	380.4912372055	0.6429713084	-0.6371737339	0.0242782708	0.2280712499
9197	CCHCR1	387.5573097953	478.195164243	296.9194553476	0.6209168924	-0.6875279133	0.0242824451	0.2280712499
57326	WDR46	779.691833693	947.4530689245	611.9305984614	0.6458690341	-0.6306864424	0.0243160404	0.2283056084
13330	CXCL2	53.4252520358	99.0920790442	7.7584250275	0.078295108	-3.6749340219	0.0243307024	0.2283056084
57166	VPS37D	105.8165784026	136.5471012421	75.0860555631	0.5498912454	-0.8627817766	0.0243307769	0.2283056084
22957	LYST	405.9086589929	304.0868209701	507.7304970158	1.6696892532	0.7395796269	0.024401997	0.2289005768
